seller_n-1_address,transaction_count,active_period,total_value,total_gasUsed,avg_gasPrice,avg_gasLimit,rolling_avg_value_last10,rolling_std_value_last10
0x888e552fc9a9dbfaa5b854bc6f128c1a4142ad28,812,1079.2045833333334,7920.2751116728095,124076965,106401811815.09853,233309.6194581281,0.0082328132597635,0.02091456600468557
0x59d2e3449539679916230be50a2ee50287dbbc27,167,1593.3054861111111,134.6348638799,24211403,97028524945.81438,198535.19161676647,0.2704,0.28926188826044813
0x805e360f456dee5a774b12ce0a0aedbd38f53ebf,963,1036.3889699074075,18471.37371122084,63569687,29188757419.444443,103292.06126687436,20.17799,15.180888147960909
0xbbd75db64a9674d35dad240811ba0880ad0e106f,884,2087.0565046296297,696.1776619613646,136071219,91106031961.16855,214911.70135746605,0.4,1.2000000000000002
0x012b38ccb3ae97a32cd24088bf9426d4ee5442d3,6612,1406.3146180555555,8929.071321944948,1177908803,100283081122.08757,247950.87976406535,0.004935858721004714,0.008106996208718811
0x744c9ca32fc6f7c355083d06019db5d0017a90df,314,1254.1182523148148,505.3498167333664,34556857,48385339900.108284,144650.35987261147,0.30560950801960357,0.47332414523728183
0xd5bc6960cae38bd36439cd3a217a41d7427a22ed,176,1482.2399537037038,620.0522984686385,20142636,72633676250.06818,163653.5284090909,0.441,1.1922789103225806
0x06550f45f6a0cf23f4a22612d2501078d5323a52,276,1348.4623958333334,755.1269051898089,24295997,46054798830.16304,108860.55072463768,0.11128968658861801,0.25757023518549604
0xe6563194f9baa6e3064086a98bf73608fc17cbfd,4509,1311.421122685185,6674.29419868347,1052400873,87936179094.59259,340844.0314925704,0.0,0.0
0x89688542873276cd7d9cea936b25f37778a593fd,1841,1692.2037847222223,6587.618743275957,299975993,63703229697.140686,236537.5926127105,6.9438233480000005,13.40071919010578
0x81007bec2b2c6b211372aa4f2cd340b7713c528b,3357,1177.7729976851851,7560.454910320367,628397717,29413128422.68722,263926.14685731306,1.360858714,1.9198407127747874
0xa777a285faf530c109a2c4e3096577da6b66d27b,11,671.7777893518519,85.06228696,633807,120904892388.63637,66194.27272727272,8.501410786,16.860972600042782
0x751d5edfdc54cdf8e03a72324eb26e264e0c4ca9,42,187.35237268518517,60.288431371891605,6364418,7306949591.952381,219738.92857142858,1.1594159744361723,3.4085131330544542
