buyer_n-1_address,transaction_count,active_period,total_value,total_gasUsed,avg_gasPrice,avg_gasLimit,rolling_avg_value_last10,rolling_std_value_last10
0x29093a796a7b83b44b2d946c9964721a8105ef99,1085,1086.9619328703704,5398.839903972122,46579701,57740974532.44608,55424.606451612904,0.10377381144097927,0.11798590884813251
0x6d02ce0cd50bff383035e1de5c8b2235fb22e4e8,10000,752.3859837962963,7086.1403016027625,2055981698,21190247520.6789,243925.9942,0.0,0.0
0xecbde5878a4127b8def2af355dc7e2be5311f904,9773,1424.0824074074073,12718.515436292744,995433606,46345126325.99478,146458.3253862683,0.19138186985269875,0.06310766433020613
0x28b49d24d58e165ac8cfe1e91b2027fcc716af12,284,1311.1958217592592,2730.6778598126966,48758452,74080393724.82394,234599.94366197183,0.001,0.003
0x195ebd4a72a91c8e627c8cd7f6b6ebf215d35c60,44,1073.1083333333333,317.63413868086303,4065133,44925358269.704544,124966.93181818182,0.063995,0.13253128017566268
0x1c844fbd946ff35385d636953017cee2781db754,348,1186.9400578703703,683.8927665513654,39548786,47275060307.54023,145315.76149425286,0.01625,0.048749999999999995
0x9a78e37a3ddffa6616272ad0aad36abb99adceb2,104,1784.9486921296295,147.41902873671032,12544087,53299973998.79808,157340.875,2.1879,1.9054148340978139
0x5c48b927f2488e5b0b15bbac6721b1e6dc007d68,906,1415.123587962963,28.785245607913772,80008842,33857758120.76159,107414.25717439293,0.005083843428578805,0.006820672451767082
0x0a2542a170aa02b96b588aa3af8b09ab22a9d7ac,6412,1769.8550694444446,40291.30412629648,1007605905,108140906784.03275,213079.29132875858,0.058199999999999995,0.14371207325760768
0x80de2f874067b092bcb914144efbe1b54a731f4d,1731,1255.1464351851853,68312.47789523606,271345528,66037192806.68342,219419.93125361062,3.3438880392317407,4.684648053177618
0x4300624fcd5e839c6a32f985a05f1ae6f8667766,324,1471.9230439814814,859.8139688478068,33905561,79008198066.75,142678.00925925927,0.0,0.0
0x2a7f1e50cbebca527ca761b805331ed803a2433f,150,1330.6273611111112,260.2072326572772,11790261,100572516843.88667,127254.36666666667,0.7749968054854568,0.6954914148247673
0x6be421a8eb9aac1286a118e62d11ab8e786cd061,342,1399.9497453703705,3823.2593579859836,20536020,100844306763.99123,80939.49707602338,0.575443874431254,1.6432551740650077
0xfd3b9506f9fce97726e169266a3c5e00b9b7ce70,321,2556.614201388889,334.0971817866486,48888383,59975203853.161995,215844.73520249221,0.09220656151258108,0.1734515560775896
0x99b38521a295252b53145807d0b71dd39adc332e,13,834.7402893518519,235.44258403565138,915771,21170400350.153847,101608.92307692308,9.531170041565138,28.464793418167254
0xf9b2b433fc953c209957d754a5e4334f2c8676cf,167,1664.8647800925926,322.29362515835305,18640362,82431397499.8024,150394.9401197605,0.14782305809846563,0.3123166899097063
0x544b4979263846cbc2bebf0b99d3812536964da5,4630,2646.0388541666666,2000.2333703145694,651328866,49243961193.463066,197397.81879049676,0.05,0.15000000000000002
0x9639022ae8eecc9bddf8f9609374f5d13c77dd44,42,1408.5162268518518,7.216827684010695,3218331,824150848230.3334,102531.88095238095,0.5909711002935486,0.6470190419032202
0x0b742783bfac8d4b6d332e5d1b63f433fcd8c0a0,822,2752.9869791666665,410.88754730533896,119965638,92314334508.42336,191715.01824817518,0.05087677168966205,0.0791443910346029
0x4c6b83ca1c59781fab57790a46281bbd93e539fe,5322,1404.9002314814816,14423.744214238914,1157000733,84981241130.16968,300771.04772641865,0.33530084638151975,0.3494863276422191
0x1fe4da8bfb7bbdb8b1894b59d3e365dc00f69b88,738,1701.1472916666667,3452.098049386489,1210130125,112258006471.93903,2113152.7926829266,0.3,0.6403124237432849
0xb8466e3241feccee0cba071c0aae40c89fa630d0,292,1437.1352777777777,161.82164796358316,29796530,65864527239.16096,128791.67123287672,0.07032399999999998,0.09003398682719764
0x1254958bd5073c6b238e516298f0c48f6f60a78e,1450,1297.665289351852,9448.850957118877,255316937,67511099698.09035,226605.00689655173,12.8,38.400000000000006
0x9aabe49160f8100093696d2bce4fc21f98bc1491,30,1355.6545717592592,31.955858996459238,3119143,25273333433.033333,200677.06666666668,1.3392813996459239,2.63869752860729
0xe7a8a504a82f0a829656261a54d0443f85e19604,3468,1411.2718981481482,2789.866081860169,857662648,61202473636.21857,340501.2079008074,0.9169,1.104884831102319
0x75396196461b3be78339cf874053370383c910e0,690,1347.6660069444445,1134.8515821690667,91652372,58700635124.87971,179515.88695652175,0.01,0.02
0x7d88aa989068e65190031a13c809e27fcb3aca52,1612,2553.5193171296296,2510.116145662644,169062311,95428571155.35484,144724.74689826302,0.11804706087788941,0.2947212284593787
0xcfcb181b5cb759160a532964a2f2c3390c6f4221,1349,1455.8109837962963,743.6621135941502,152068419,79497872119.08377,154668.04595997036,0.42000000000000004,0.6764613810115105
0xc4da1707a7a16cf4ac15d75d6a49a684b23ee1e4,9142,1312.7956018518519,16419.856246766987,1656257295,24172259084.37519,229234.14066943777,0.0,0.0
0xd0ad5eba4ff59b8336fdb87f3651b9e64a9002b3,48,738.9465393518518,73.40783816,3461733,16213953445.229166,138529.60416666666,1.55246,1.0430685569031404
0x7f41c4d5fad289d1b788a8a94d38e180445b7724,4313,950.2982870370371,2926.458685483922,401012314,19147483361.561096,112836.4372826339,0.4558998192027281,0.6082442205114903
0x004775cec7c60ccefa0a05a119db956c3a1f41c6,1551,1133.2528935185185,831.6753792076756,247396531,24863395861.219856,195823.8671824629,1.3495,3.3755343651042864
0x2ee0485f71764bcd2062a84d9455688c581b90f8,3397,1464.7881828703703,313.6381412808316,486493191,55902183882.04681,181646.58139534883,0.02,0.06
0xfa56fd69de55ed8ca47405ac7bdda19e4b909fae,444,1362.8815393518519,107.05132445029723,52777424,70228367306.5045,151288.80855855855,0.00751454119910005,0.022212291248282966
0xd73f65682f9e394af076968d55db116576c7c2ed,524,1453.9452430555555,223.57526701400408,46771314,67447343601.66031,110562.16603053435,0.15989346926965756,0.35463493807997165
0x2dd09e72c249f2487d35c064fb5de7ecc5b3b148,10,968.8010879629629,238.3873007870585,481588,24869652673.4,114465.8,23.83873007870585,40.80520709005136
0xe0b2a5594266585558d3a88cb3299e721524641e,1104,1412.7889351851852,468.79874490869605,118029983,78839665761.8904,143095.91847826086,0.001,0.003
0xde7587c71d388fff52c0774dd8160d435efe7ad0,682,620.0270949074074,7136.66125437403,81544248,24938593345.265396,159648.76099706744,0.093568,0.1236168824068946
0x35ec0052bd4fec8d54e30d1b7071639d7b1d9ee1,257,1320.5461342592594,181.28762458406672,33938566,100175324439.77821,179210.0739299611,0.30006391357191287,0.5140791065167631
0x8f45d77f7c0d8e4023eab2a2e36c83667c6b0253,1729,1412.6253472222222,875.2598747830491,180613956,32663544949.153847,145682.24291497975,0.3732548496063127,0.6131718090949336
0xbe781bb5cd6a89e3affc6abe0f5b74a2377db92e,4091,1426.602314814815,2996.2208350989217,636054947,53852867697.22024,197699.64385235883,0.011206967731710166,0.020762812213865847
0x130ca48dabf46aa98a6f9607aaa89309dea03729,36,1057.0770833333333,246.19679178419835,4717240,24968402003.916668,190756.0,1.3182371834198356,3.954711550259507
0xdff92adb0c822cdcbd5768d8ca03de428a2f2c1a,1966,1613.076712962963,837.1060580887595,231848026,68585115196.33266,163287.39216683622,0.014950942732313375,0.031962284818228374
0x2db116b40f37cf1e14fdf684d955133ad9e2a2a3,188,1341.539074074074,533.523034436988,31016006,49946992464.39893,220024.56382978722,0.295552,0.8682739670380542
